ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes
2016-05-03,950,174,0,0
2016-05-10,774,206,0,0
2016-04-22,1141,236,2,61
2016-05-09,1131,217,19,73
2016-04-21,708,214,27,53
2016-04-25,637,282,31,35
2016-05-05,916,196,42,38
2016-04-14,1125,252,58,5
2016-04-19,1099,278,58,5
2016-04-28,1157,227,53,3
2016-04-30,816,402,71,9
2016-05-03,1115,221,94,10
2016-04-20,1053,276,63,48
2016-04-21,1028,255,53,104
2016-05-09,1061,297,47,35
2016-04-14,705,206,48,1
2016-04-16,968,268,72,66
2016-04-20,1011,269,43,11
2016-04-16,663,153,83,31
2016-04-17,600,205,58,11
2016-04-19,738,221,67,19
2016-04-20,845,164,98,2
2016-04-23,724,252,92,0
2016-04-30,687,194,52,43
2016-05-02,713,176,143,24
2016-05-04,852,142,96,14
2016-05-05,680,178,88,14
2016-05-06,676,168,55,29
2016-05-07,703,208,86,0
2016-05-08,688,171,116,9
2016-05-09,1159,151,122,8
2016-05-10,676,196,115,1
2016-04-27,680,300,47,6
2016-04-27,684,241,48,11
2016-04-30,537,300,43,14
2016-05-05,896,199,39,12
2016-05-06,1100,262,45,33
2016-05-07,508,260,56,120
2016-04-17,437,302,66,12
2016-04-23,469,408,66,9
2016-05-08,1019,192,125,9
2016-05-10,701,262,37,1
2016-04-15,695,199,54,115
2016-04-16,472,158,56,184
2016-04-17,525,159,37,200
2016-04-21,670,175,74,110
2016-04-24,425,141,65,210
2016-04-30,621,163,45,207
2016-05-01,499,178,72,194
2016-05-10,639,194,37,104
2016-04-20,1079,178,113,70
2016-05-02,655,313,39,18
2016-04-22,1065,261,50,64
2016-04-19,671,124,69,67
2016-04-22,762,153,59,58
2016-04-25,706,129,39,69
2016-04-28,810,161,48,54
2016-05-09,743,171,50,67
2016-04-25,1261,118,54,7
2016-04-22,1170,212,54,4
2016-04-23,1151,238,44,7
2016-04-24,1188,206,44,2
2016-04-26,1134,214,91,1
2016-04-29,1069,258,67,46
2016-05-08,1183,182,72,3
2016-05-10,1226,162,43,9
2016-05-11,1106,177,71,5
2016-04-23,795,232,45,8
2016-05-12,1440,0,0,0
2016-04-12,1294,146,0,0
2016-04-13,1292,148,0,0
2016-04-15,1344,96,0,0
2016-04-16,1264,176,0,0
2016-04-19,1299,141,0,0
2016-04-20,1289,151,0,0
2016-04-22,1241,199,0,0
2016-04-29,1290,150,0,0
2016-05-04,1322,118,0,0
2016-05-07,1258,182,0,0
2016-05-08,1288,152,0,0
2016-05-09,1349,91,0,0
2016-05-11,1328,112,0,0
2016-04-24,1351,89,0,0
2016-04-27,1322,118,0,0
2016-04-29,1193,120,0,0
2016-05-08,991,295,0,0
2016-04-12,1101,339,0,0
