Brand_Name,Device_type,Model_Name,Color,Selling_Price,Original_Price,Rating__Out_of_5_,Strap_Material
APPLE,Smartwatch,42 mm White Ceramic Case with Cloud Sport,Cloud,114900,114900,4.7,Nylon
APPLE,Smartwatch,Series 3 GPS + Cellular- 42 mm Gray Ceramic Case,Black,122090,122090,4.6,Nylon
APPLE,Smartwatch,Series 3 GPS + Cellular- 42 mm White Ceramic Case,Black,122090,122090,4.6,Nylon
GARMIN ,Smartwatch,Vivomove Style,"White, Pink",26990,31490,3.3,Nylon
Honor,Smartwatch,GS Pro,Black,13999,20999,4.4,Nylon
Honor,Smartwatch,GS Pro,Blue,17999,20999,4.4,Nylon
GARMIN ,Smartwatch,Fenix 6,"Black, Red, Orange",76990,86690,,Nylon
GARMIN ,Smartwatch,Fenix 6 Pro Solar,"Grey, Black",72990,88490,,Nylon
GARMIN ,Smartwatch,Fenix 6X,"Black, Orange, Red",79990,88490,,Nylon
GARMIN ,Smartwatch,Fenix 6,"Grey, Blue",77990,86690,,Nylon
GARMIN ,Smartwatch,Fenix 6S,"Black, White",77990,86690,,Nylon
GARMIN ,Smartwatch,Fenix 6 Pro Solar,Yellow,84490,88490,,Nylon
FitBit,Smartwatch,Versa Special Edition,Charcoal ,10365,23499,4.1,Fabric
Zebronics,Smartwatch,Smarttime 200,Black,1499,2999,3.1,Rubber
FitBit,FitnessBand,Flex Small,"Violet, black, Grey, Teal, Blue, Red",8490,8490,3.8,Rubber
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,Black,2000,2590,3.8,Rubber
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,Yellow,2490,2590,3.8,Rubber
SAMSUNG ,FitnessBand,Galaxy Fit,Silver,8990,9990,4.0,Rubber
SAMSUNG ,Smartwatch,Neo Gear 2,Black,15500,16860,3.9,Rubber
SAMSUNG ,Smartwatch,Gear Live,Black,15900,15900,4.2,Rubber
SAMSUNG ,FitnessBand,Activity Tracker,Black,13201,15885,4.2,Rubber
Zebronics,Smartwatch,ZEB-FIT5220CH,Gold,3299,4999,,Rubber
Zebronics,Smartwatch,ZEB-FIT5220CH,Blue,3299,4999,,Rubber
Oppo,Smartwatch,46 mm,"Black, Gold",14990,19990,3.9,Rubber
Oppo,Smartwatch,41mm,"Pink, Silver, Black",17990,24990,3.9,Rubber
SAMSUNG ,Smartwatch,R600NZBAXAR 600,Blue,21390,25155,4.5,Rubber
SAMSUNG ,Smartwatch,Galaxy Gear,Gold,50408,60241,3.2,Rubber
FOSSIL ,Smartwatch,Q Venture,Blue,19999,21995,3.8,Leather
FOSSIL ,Smartwatch,Jacqueline,Gold,13495,13495,4.6,Leather
FOSSIL ,Smartwatch,Q Annette,Gold,6995,13495,4.6,Leather
FOSSIL ,Smartwatch,Garrett,Brown,8995,11995,3.7,Leather
FOSSIL ,Smartwatch,Neely,White,8995,13495,4.7,Leather
FOSSIL ,Smartwatch,Q Venture,White ,4399,21995,3.8,Leather
FOSSIL ,Smartwatch,Q Venture,Beige,15995,15995,4.6,Leather
FOSSIL ,Smartwatch,Gen 5 Carlyle HR,Black,15995,22995,4.2,Leather
FOSSIL ,Smartwatch,Gen 5 Carlyle HR,"Brown, Grey",14995,22995,4.2,Leather
FOSSIL ,Smartwatch,Q Neely,Black,6995,12995,4.6,Leather
FOSSIL ,Smartwatch,FTW5012 Hybrid,Brown,9097,12995,4.6,Leather
FOSSIL ,Smartwatch,FTW6007,Brown,19995,19995,4.1,Leather
FOSSIL ,Smartwatch,FTW1151 Hybrid,Gold,8995,11995,4.3,Leather
FOSSIL ,Smartwatch,Q Explorist,Black,19995,19995,4.4,Leather
FOSSIL ,Smartwatch,FTW4003,Brown,19995,19995,3.1,Leather
FOSSIL ,Smartwatch,FTW1146 Q Hybrid,Gold,11995,11995,4.6,Leather
FOSSIL ,Smartwatch,FTW20013 Q,Black,21495,21495,4.6,Leather
FOSSIL ,Smartwatch,FTW1144 Q Hybrid,Black,8995,13995,4.6,Leather
FOSSIL ,Smartwatch,FTW1145 Q Hybrid,Gray,6995,13995,4.6,Leather
FOSSIL ,Smartwatch,FTW5011 Hybrid,Black,8995,14495,4.8,Leather
FOSSIL ,Smartwatch,FTW2120SET Q,Gray,23995,23995,4.6,Leather
FOSSIL ,Smartwatch,FTW1136 Q Hybrid,Blue,11995,11995,4.6,Leather
Zebronics,Smartwatch,Fit-650,Black,2949,4199,3.1,Leather
Huawei,Smartwatch,Watch 2,Black,25999,25999,3.9,Leather
FOSSIL ,Smartwatch,Carlie,Beige,11995,11995,4.8,Leather
Crossbeats,Smartwatch,Orbit - Special Edition,Brown,4190,9999,3.9,Leather
FOSSIL ,Smartwatch,Charter Hybrid HR,Gold,13196,16495,3.9,Leather
FOSSIL ,Smartwatch,Jacqueline Hybrid,Rose Gold,10796,13495,4.0,Leather
FOSSIL ,Smartwatch,Neutra Hybrid,"Brown, Black",11995,11995,5.0,Leather
FOSSIL ,Smartwatch,Barstow Hybrid,Brown,8995,11995,4.6,Leather
FOSSIL ,Smartwatch,Charter Hybrid HR,Black,14021,16495,3.9,Leather
FOSSIL ,Smartwatch,Garrett Hybrid,Brown,11995,11995,3.7,Leather
FOSSIL ,Smartwatch,Jacqueline Hybrid,Navy ,8995,13495,4.0,Leather
FOSSIL ,Smartwatch,Cameron Hybrid Smartwatch,Blue,13495,13495,4.6,Leather
FOSSIL ,Smartwatch,Jacqueline Hybrid,Black,11995,11995,4.6,Leather
FOSSIL ,Smartwatch,Charter Hybrid HR,Silver,12396,14995,3.9,Leather
FOSSIL ,Smartwatch,Jacqueline Hybrid,Blue,6995,11995,4.6,Leather
FOSSIL ,Smartwatch,Jacqueline Hybrid,Silver,13495,13495,4.6,Leather
FOSSIL ,Smartwatch,Commuter Hybrid,Brown,8995,11995,4.6,Leather
Xiaomi,FitnessBand,HMSH01GE,Black,1722,2099,3.5,Leather
Honor,Smartwatch,Magic Watch 2,Brown,13999,15999,4.4,Leather
SAMSUNG ,Smartwatch,Galaxy Watch 3,Black,28990,30990,4.3,Leather
SAMSUNG ,Smartwatch,Galaxy Active 2 Steel,Black,24490,31990,4.4,Leather
SAMSUNG ,Smartwatch,Galaxy Watch 3,Black,39490,39490,4.3,Leather
SAMSUNG ,Smartwatch,Gear S2 Classic,Black,18999,34550,4.2,Leather
SAMSUNG ,Smartwatch,T-Mobile,Black,21990,22990,4.3,Leather
SAMSUNG ,Smartwatch,Gear S2 Classic,Black,18999,30000,4.2,Leather
FOSSIL ,Smartwatch,Commuter,Black,11995,11995,4.3,Leather
FOSSIL ,Smartwatch,The Carlyle HR,Black,25995,25995,4.2,Leather
FOSSIL ,Smartwatch,FTW6009 Black HR,Black,13995,13995,4.1,Leather
FOSSIL ,Smartwatch,Garrett HR,Grey,14995,22995,4.1,Leather
GARMIN ,Smartwatch,Venu 2,"Black, Blue",41990,41990,4.7,Leather
GARMIN ,Smartwatch,Running GPS 935,Black,42990,42990,,Leather
GARMIN ,Smartwatch,Forerunner,Black,44990,44990,,Leather
